"","x"
"896","Dufourea gilia"
"897","Melitta californica"
"898","Andrena pulverea"
"899","Dufourea vanduzeei"
"900","Perdita malacothricis"
"901","Anthophora signata"
"902","Macrotera tristella"
"903","Anthophora phenax"
"904","Osmia phenax"
"905","Nomada grayi"
"906","Osmia potentillae"
"907","Hesperapis fulvipes"
"908","Ashmeadiella eurynorhyncha"
"909","Perdita cephalotes"
"910","Stelis carnifex"
"911","Diadasia angusticeps"
"912","Colletes paniscus"
"913","Colletes ochraceus"
"914","Colletes salicicola"
"915","Colletes angelicus"
"916","Colletes clypeonitens"
"917","Colletes consors"
"918","Colletes covilleae"
"919","Colletes intermixtus"
"920","Colletes deserticola"
"921","Colletes gypsicolens"
"922","Colletes larreae"
"923","Colletes lutzi"
"924","Colletes louisae"
"925","Colletes kincaidii"
"926","Colletes californicus"
"927","Colletes tectiventris"
"928","Colletes stepheni"
"929","Colletes turgiventris"
"930","Colletes sphaeralceae"
"931","Colletes xerophilus"
"932","Hylaeus wootoni"
"933","Hylaeus coloradensis"
"934","Hylaeus calvus"
"935","Andrena schuhi"
"936","Andrena coactipostica"
"937","Andrena plumiscopa"
"938","Andrena rufosignata"
"939","Andrena nemophilae"
"940","Andrena palpalis"
"941","Andrena buckelli"
"942","Andrena edwardsi"
"943","Andrena frigida"
"944","Andrena hemileuca"
"945","Andrena macoupinensis"
"946","Calliopsis nigromaculata"
"947","Andrena lepidii"
"948","Atoposmia mirifica"
"949","Melissodes utahensis"
"950","Megachile newberryae"
"951","Megachile alata"
"952","Anthophora striata"
"953","Eucera virgata"
"954","Bombus frigidus"
"955","Neolarra linsleyi"
"956","Andrena californiensis"
"957","Neolarra vigilans"
"958","Andrena cymatilis"
"959","Megachile centuncularis"
"960","Anthophora pueblo"
"961","Hoplitis colei"
"962","Megachile inimica"
"963","Triepeolus punctoclypeus"
"964","Anthophorula nevadensis"
"965","Ashmeadiella titusi"
"966","Andrena melanochroa"
"967","Osmia latisulcata"
"968","Andrena miranda"
"969","Hoplitis palmarum"
"970","Anthophora platti"
"971","Ashmeadiella leucozona"
"972","Atoposmia enceliae"
"973","Perdita scopata"
"974","Svastra helianthelli"
"975","Osmia tarsata"
"976","Osmia sequoiae"
"977","Anthophorula eriogoni"
"978","Hoplitis evansi"
"979","Nomada pallidelutea"
"980","Osmia trevoris"
"981","Eucera tricinctella"
"982","Osmia lanei"
"983","Hoplitis bunocephala"
"984","Stelis hurdi"
